[-9.718295741893252,2.5909777892885235]
[-9.122157334070057,2.0244893589697743]
[-8.064308899586196,2.9442560078068736]
[-8.582012283665577,1.8357912651159518]
[-8.714817970238474,4.041936167786929]
[-9.332119372985433,4.468541514835331]
[8.874461709096058,7.2528093264908815]
[10.50489017271975,5.5872337009713595]
[9.595353658902102,4.602000787205215]
[-7.922456159914778,5.361643922951678]
[-8.993210106555093,5.92115624668901]
[9.26240587195493,5.429743535017476]
[-10.04085064720841,5.167250962928484]
[-8.921425691153916,4.680814963122921]
[9.069917831921108,4.983717674347759]
[-8.407514646804437,-0.1564700142047346]
[8.29702400001492,6.398946664424344]
[9.185426794338586,4.803445131006985]
[-9.820093808511556,4.828200702643737]
[-8.090004680324379,0.5321594381004422]
[8.671611230210251,5.811737269619978]
[-8.956512106690656,1.6624480803425083]
[-8.855693647579129,3.8646159292080817]
[10.127374528578851,5.414628636392537]
[8.332564401427813,5.788315034856907]
[-8.982254066461971,4.417752510273909]
[7.2637087568193,4.827461012881138]
[-8.864708235140924,1.7828379344964471]
[10.069082912803351,4.212942878705534]
[9.312010942898036,5.79569595612476]
[-9.934128326521018,1.240208374379207]
[-10.411220903459428,4.314514816537806]
[10.160773420055445,5.449576722072647]
[-8.671769969110828,1.425900507622252]
[-8.2194344445764,2.0729123215215086]
[-10.143973434402529,1.5460792640027683]
[-8.577906264940989,2.0929926742815583]
[-8.034890473253203,5.8802332040135195]
[-6.5351644646385,4.7686924965877004]
[10.587241258599239,6.114708230873798]
[-10.14679370212851,3.9978344867494418]
[-7.850177794992999,0.3553406727319619]
[-9.688287358725724,4.654008358068805]
[10.21559480840072,4.776180099906614]
[9.986587421530482,4.614197235104435]
[-9.37560213836433,5.2578125987225635]
[-7.156638763869264,2.0105167458028963]
[-9.139326717423307,1.1194168963405546]
[-9.15763154368509,2.3831519892735686]
[-8.419802346751599,0.1007165842934028]
[-8.660697019096737,5.035942158638083]
[-7.459965457986369,7.166063877489045]
[-9.25513085658826,5.361714329628346]
[-7.28068152769932,4.7366288846397815]
[11.49591875214825,6.054150750163013]
[-8.005284549560027,5.349394707378344]
[8.564638273504585,4.05787641927776]
[-8.655170577946434,1.6366074511223627]
[10.330710847862681,4.443576182661303]
[-8.212240501938583,1.994310822663603]
[10.192401963122116,3.1070860650634398]
[9.940970684362968,5.025094899615684]
[10.290438556714843,5.4266022230697555]
[-8.460806681336509,0.6591841049201547]
[-9.81526965496709,-0.95040376684205]
[-7.947358132781915,5.08607791205937]
[-8.08362879811402,5.364995678657297]
[-8.96468567272648,3.768345457281364]
[-8.582541063836148,3.8723954951769843]
[-8.838929024001372,1.88626629020228]
[-8.06208145253791,0.6442851982558558]
[-9.082497447506716,3.2785846562823693]
[8.307737495479865,6.283687223303048]
[-8.194740041794773,0.7921620026966841]
[-8.613408223000784,0.5135267459315858]
[-9.728728493020473,5.977549595529937]
[-9.810225707715876,6.124205443818172]
[8.439961275261373,5.452285257962818]
[-9.802611093555521,1.222523844008687]
[8.051934155232711,5.954582270469547]
[-8.336920363505174,1.5592156000460051]
[7.514749306522061,5.502723933774359]
[-7.924415979055599,6.373888111202093]
[-8.813209308865753,4.811176378941732]
[-8.252672676316756,1.5320716220996349]
[-8.304790627462367,-0.2269459389821833]
[-8.606599158957229,1.7103384311365855]
[11.167003197328611,4.770046117108924]
[9.513344756032957,5.400890642990549]
[-9.166537301295556,1.3963456329651789]
[-10.741859033748705,6.0314979033453024]
[-10.773613611856621,4.726663319904535]
[-8.627382455569778,3.7429103687953558]
[-9.029060270295965,5.349316171228502]
[8.583421646235784,3.5377686829676627]
[-6.786902848322579,0.6635847050501755]
[11.833795728295964,4.209577799385958]
[9.956024017641182,7.8485134420455696]
[-9.702528957712211,5.232135692454806]
[7.298222005716745,5.225361198684017]
